L_Scene,R_Scene,L_Pts,R_Pts
2271.jpg,9405.jpg,2 Points,3 Points
2120.jpg,7004.jpg,0 Points,5 Points
6360.jpg,9120.jpg,1 Point,5 Points
7095.jpg,6900.jpg,1 Points,4 Points
5455.jpg,7570.jpg,0 Points,5 Points
5594.jpg,5991.jpg,5 Points,0 Points
9912.jpg,2750.jpg,5 Points,4 Points
7550.jpg,3053.jpg,1 Points,4 Points
9480.jpg,3080.jpg,0 Points,1 Points
3250.jpg,2716.jpg,3 Points,2 Points
2518.jpg,1313.jpg,1 Point,4 Points
1230.jpg,9620.jpg,4 Points,1 Point
6836.jpg,9411.jpg,4 Points,0 Points
9182.jpg,7235.jpg,2 Points,3 Points
2600.jpg,8185.jpg,1 Point,0 Points
9424.jpg,9280.jpg,4 Points,1 Point
5030.jpg,8160.jpg,3 Points,2 Points
9230.jpg,7502.jpg,0 Points,5 Points
9340.jpg,1200.jpg,0 Points,4 Points
9810.jpg,9400.jpg,2 Points,3 Points
6940.jpg,6241.jpg,2 Points,3 Points
1321.jpg,7000.jpg,3 Points,2 Points
7480.jpg,2385.jpg,0 Points,3 Points
9630.jpg,9046.jpg,2 Points,3 Points
9490.jpg,9254.jpg,1 Point,2 Points
7640.jpg,9600.jpg,0 Points,5 Points
2352.2.jpg,9417.jpg,0 Points,1 Point
5875.jpg,7285.jpg,0 Points,5 Points
8400.jpg,2490.jpg,1 Point,4 Points
5800.jpg,5910.jpg,0 Points,5 Points
8311.jpg,1900.jpg,2 Points,4 Points
7050.jpg,2215.jpg,4 Points,1 Point
3300.jpg,3110.jpg,0 Points,4 Points
5660.jpg,5628.jpg,0 Points,5 Points
2752.jpg,3266.jpg,2 Points,1 Point
5530.jpg,1450.jpg,0 Points,5 Points
4279.jpg,2495.jpg,5 Points,0 Points
2100.jpg,5740.jpg,5 Points,0 Points
9571.jpg,1945.jpg,2 Points,4 Points
7080.jpg,6210.jpg,4 Points,1 Point
9265.jpg,P211.jpg,0 Points,4 Points
2206.jpg,7020.jpg,0 Points,5 Points
2280.jpg,7170.jpg,4 Points,2 Points
7030.jpg,1050.jpg,1 Points,4 Points
2661.jpg,8503.jpg,5 Points,2 Points
2791.jpg,7207.jpg,4 Points,1 Points
3030.jpg,P237.jpg,0 Points,2 Points
7217.jpg,3060.jpg,4 Points,1 Point
P222.jpg,3051.jpg,2 Points,1 Point
P077.jpg,7040.jpg,1 Point,4 Points
5480.jpg,2312.jpg,4 Points,1 Points
5920.jpg,4275.jpg,2 Points,3 Points
1201.jpg,F365.jpg,3 Points,5 Points
2480.jpg,5731.jpg,1 Point,4 Points
7195.jpg,4598.jpg,2 Points,1 Point
5470.jpg,2620.jpg,5 Points,0 Points
3100.jpg,3062.jpg,2 Points,3 Points
5395.jpg,7182.jpg,1 Point,4 Points
5260.jpg,1602.jpg,5 Points,1 Point
9700.jpg,9452.jpg,1 Points,4 Points
P019.jpg,6550.jpg,3 Points,5 Points
7320.jpg,7545.jpg,0 Points,5 Points
3102.jpg,1080.jpg,1 Point,4 Points
5700.jpg,5390.jpg,5 Points,0 Points
9090.jpg,8340.jpg,3 Points,2 Points
8010.jpg,2500.jpg,0 Points,5 Points
7160.jpg,5270.jpg,0 Points,4 Points
7211.jpg,1525.jpg,3 Points,2 Points
6831.jpg,6211.jpg,5 Points,3 Points
9140.jpg,7034.jpg,3 Points,2 Points
1240.jpg,6020.jpg,3 Points,2 Points
5831.jpg,7220.jpg,3 Points,2 Points
8300.jpg,1910.jpg,3 Points,2 Points
7361.jpg,2683.jpg,2 Points,3 Points
2260.jpg,2681.jpg,5 Points,3 Points
9913.jpg,1310.jpg,1 Points,4 Points
3061.jpg,3015.jpg,4 Points,5 Points
1616.jpg,5720.jpg,2 Points,3 Points
6570.2.jpg,1510.jpg,3 Points,4 Points
F252.jpg,2230.jpg,0 Points,5 Points
5535.jpg,8460.jpg,3 Points,0 Points
4660.jpg,7035.jpg,4 Points,1 Points
1220.jpg,8231.jpg,1 Point,4 Points
7286.jpg,2485.jpg,5 Points,0 Points
3170.jpg,6570.1.jpg,2 Points,5 Points
5870.jpg,5629.jpg,5 Points,0 Points
7352.jpg,5010.jpg,2 Points,5 Points
5849.jpg,2749.jpg,2 Points,3 Points
4531.jpg,5621.jpg,5 Points,3 Points
7503.jpg,5900.jpg,2 Points,3 Points
9320.jpg,1101.jpg,0 Points,3 Points
7110.jpg,6800.jpg,5 Points,0 Points
3130.jpg,3230.jpg,4 Points,2 Points
9080.jpg,5593.jpg,5 Points,0 Points
7190.jpg,5300.jpg,5 Points,1 Point
5820.jpg,5200.jpg,5 Points,0 Points
F174.jpg,6212.jpg,5 Points,4 Points
1850.jpg,7233.jpg,5 Points,0 Points
5500.jpg,5520.jpg,3 Points,2 Points
1274.jpg,6350.jpg,1 Points,4 Points
2010.jpg,2092.jpg,5 Points,0 Points
5990.jpg,5890.jpg,3 Points,2 Points
9421.jpg,1051.jpg,2 Points,0 Points
1603.jpg,8180.jpg,1 Points,4 Points
